Country,Currency,Exchange rate,Price perception,Avg rent local,Avg rent usd,Apples qty,Apples price local,apples per unit usd,Bananas qty,Bananas price local,bananas per unit USD,Tomatoes qty,Tomatoes price local,tomatoes per unit USD,Potatoes qty,Potatoes price local,potatoes per unit USD,Flour qty,Flour price local,flour per unit USD,Rice qty,Rice price local,rice per unit USD,Milk qty,Milk price local,milk per unit USD,Butter qty,Butter price local,butter per unit USD,Eggs qty,Eggs price local,eggs per unit USD,Chicken qty,Chicken price local,chicken per unit USD
Canada,CAD,0.8,Budget (cheap),1450,1160,1.36,4.75,1.389473684,0.19,0.33,1.389473684,0.23,1.77,6.156521739,0.1,0.44,3.52,2.5,7.49,2.3968,1.6,12.99,6.495,2,6.49,2.596,0.454,4.49,7.911894273,18,9.05,0.402222222,0.4,9.25,18.5
Canada,CAD,0.8,Budget (cheap),1450,1160,1.36,4.99,2.935294118,0.18,0.47,2.088888889,0.454,5.99,10.55506608,0.1,0.44,3.52,2.5,3.99,1.2768,0.24,4.49,14.96666667,4,6.49,1.298,0.454,6.49,11.43612335,18,8.19,0.364,0.6,16.25,21.66666667
Canada,CAD,0.8,Budget (cheap),1450,1160,1.36,4.75,2.794117647,0.08,0.35,3.5,0.18,2.77,12.31111111,1,3.08,2.464,10,13.99,1.1192,0.907,5.29,4.665931643,1.5,5.29,2.821333333,0.454,7.49,13.19823789,12,5.75,0.383333333,0.78,16.32,16.73846154
Canada,CAD,0.8,Budget (cheap),1550,1240,0.1,0.66,5.28,0.1,0.17,1.36,0.1,0.66,5.28,0.1,0.31,2.48,10,12.99,1.0392,0.1,0.29,2.32,1,4.19,3.352,0.454,4.39,7.735682819,12,5.45,0.363333333,3,23.08,6.154666667
Canada,CAD,0.8,Budget (cheap),1550,1240,0.1,0.44,3.52,0.1,0.2,1.6,0.1,0.77,6.16,0.1,0.44,3.52,2,9.99,3.996,4.54,19.99,3.52246696,1,2.6,2.08,0.454,5.69,10.02643172,12,7.49,0.499333333,0.1,1.21,9.68
Canada,CAD,0.8,Budget (cheap),1550,1240,0.1,0.88,7.04,0.1,0.66,5.28,0.1,0.66,5.28,0.1,0.18,1.44,1,4.99,3.992,2,9.99,3.996,4,5.29,1.058,0.454,7.69,13.55066079,12,7.69,0.512666667,0.5,12.11,19.376
United States,USD,1,Mid-range,2996,2996,1.361,4.69,3.445995591,0.91,1.79,1.967032967,0.454,3.19,7.026431718,2.268,2.59,1.141975309,2.268,3.69,1.626984127,0.24,1.39,5.791666667,1.89,2.19,1.158730159,0.43,2.29,5.325581395,12,1.69,0.140833333,0.454,5.99,13.1938326
United States,USD,1,Mid-range,2996,2996,1.361,3.59,2.637766348,0.12,0.25,2.083333333,0.454,1.29,2.841409692,0.68,4.99,7.338235294,0.91,1.89,2.076923077,0.85,5.99,7.047058824,1.89,1.99,1.052910053,0.45,3.69,8.2,18,2.39,0.132777778,1.134,8.59,7.574955908
United States,USD,1,Mid-range,2996,2996,1.361,2.99,2.196914034,0,0,#DIV/0!,0.3,2.99,9.966666667,0.68,3.99,5.867647059,0.91,10.99,12.07692308,0.91,3.29,3.615384615,1.67,3.99,2.389221557,0.37,5.29,14.2972973,12,3.99,0.3325,1.814,8.49,4.680264609
United States,USD,1,Luxury (expensive),3360,3360,0.454,2.49,5.484581498,0.454,0.49,1.079295154,0.454,1.99,4.383259912,0.454,0.99,2.18061674,2.268,7.99,3.52292769,1.814,8.99,4.955898567,3.79,5.79,1.527704485,0.45,4.49,9.977777778,12,8.69,0.724166667,0.454,4.99,10.99118943
